Ciment,Argile,Alumine,Verre,Chamotte,Conductivité thermique,Résistance Mécanique
10.45,7.4,40.92,23.86,17.37,0.35,21.29
10.48,7.15,40.24,24.8,17.33,0.35,21.29
10.98,6.73,41.36,24.28,16.64,0.35,21.29
11.15,7.09,40.84,23.45,17.47,0.35,21.29
11.42,7.5,40.27,24.0,16.81,0.35,21.29
10.98,7.48,41.13,23.82,16.59,0.35,21.29
10.62,6.31,40.87,24.76,17.45,0.35,21.29
11.36,6.42,40.45,24.82,16.94,0.35,21.29
11.05,6.9,42.29,22.92,16.84,0.35,21.29
11.78,7.31,40.07,23.58,17.26,0.35,21.29
11.04,7.16,40.76,24.02,17.02,0.35,21.29
12.08,6.86,40.52,24.09,16.44,0.35,21.29
10.72,6.38,42.02,24.28,16.6,0.35,21.29
10.01,6.62,41.63,24.55,17.19,0.35,21.29
10.8,6.49,40.96,24.53,17.22,0.35,21.29
11.74,6.69,40.41,24.02,17.15,0.35,21.29
10.74,6.53,40.61,24.65,17.46,0.35,21.29
11.2,7.48,41.52,22.52,17.28,0.35,21.29
10.81,7.08,40.58,24.36,17.17,0.35,21.29
11.12,6.72,40.16,24.96,17.05,0.35,21.29
10.99,6.61,41.0,24.3,17.1,0.35,21.29
11.44,6.33,41.85,23.3,17.07,0.35,21.29
11.43,6.87,40.66,23.61,17.42,0.35,21.29
11.41,7.02,41.81,22.74,17.02,0.35,21.29
11.61,7.42,41.5,23.04,16.43,0.35,21.29
11.9,6.42,40.19,24.36,17.13,0.35,21.29
11.84,6.82,40.84,23.77,16.73,0.35,21.29
11.57,7.24,40.93,22.87,17.4,0.35,21.29
10.14,7.2,41.2,23.98,17.47,0.35,21.29
10.72,6.9,41.75,23.75,16.88,0.35,21.29
10.51,7.04,41.65,23.75,17.05,0.35,21.29
11.14,6.93,41.15,23.65,17.12,0.35,21.29
10.56,7.2,42.02,23.52,16.7,0.35,21.29
12.39,6.47,41.36,22.66,17.11,0.35,21.29
10.47,6.47,41.83,24.4,16.82,0.35,21.29
10.49,6.92,40.91,24.33,17.35,0.35,21.29
12.28,7.27,38.44,24.99,17.02,0.35,21.25
11.66,6.6,39.91,24.34,17.49,0.35,21.25
12.23,7.21,38.85,24.46,17.25,0.35,21.25
11.14,6.77,39.96,24.99,17.14,0.35,21.25
11.91,7.38,38.74,24.78,17.18,0.35,21.25
11.82,7.36,39.17,24.96,16.69,0.35,21.25
11.72,6.75,39.91,24.28,17.33,0.35,21.25
12.38,7.11,39.19,24.1,17.2,0.35,21.25
11.94,6.8,39.85,24.82,16.6,0.35,21.25
11.53,7.22,39.17,24.97,17.11,0.35,21.25
11.97,6.36,39.53,24.91,17.23,0.35,21.25
12.2,6.73,39.73,24.49,16.85,0.35,21.25
11.81,7.05,39.65,24.12,17.38,0.35,21.25
6.71,6.96,42.54,28.09,15.7,0.35,21.14
7.4,6.29,42.83,27.58,15.9,0.35,21.14
6.4,6.95,43.04,28.39,15.23,0.35,21.14
5.0,7.28,43.11,28.82,15.85,0.35,21.14
6.33,6.76,42.87,27.97,16.07,0.35,21.14
5.15,6.28,44.04,28.58,15.94,0.35,21.14
5.63,7.22,42.95,29.17,15.04,0.35,21.14
6.1,6.87,43.06,28.28,15.69,0.35,21.14
7.52,10.0,40.44,24.2,17.6,0.36,21.85
9.66,8.79,40.84,23.15,17.56,0.36,21.85
8.81,9.64,40.02,22.84,18.69,0.36,21.85
7.74,10.0,40.77,22.53,18.75,0.36,21.85
8.89,9.55,40.19,23.75,17.63,0.36,21.85
7.62,9.91,40.51,23.68,18.28,0.36,21.85
7.73,9.75,40.74,24.0,17.78,0.36,21.85
7.81,10.0,40.16,23.21,18.29,0.36,21.85
9.02,9.34,40.27,23.57,17.8,0.36,21.85
7.55,9.37,40.73,23.73,18.63,0.36,21.85
9.22,9.46,41.0,22.6,17.72,0.36,21.85
8.2,8.76,41.49,23.66,17.89,0.36,21.85
7.87,8.86,41.54,23.36,18.37,0.36,21.85
9.51,8.98,41.07,22.56,17.88,0.36,21.85
7.55,10.0,40.66,23.07,18.59,0.36,21.85
8.87,9.92,40.3,23.19,17.72,0.36,21.85
8.02,9.61,40.97,23.0,18.39,0.36,21.85
9.41,9.3,40.05,22.79,18.45,0.36,21.85
8.23,9.21,41.06,23.36,18.13,0.36,21.85
8.17,9.23,41.4,23.02,18.19,0.36,21.85
7.97,9.47,40.91,23.08,18.57,0.36,21.85
7.9,9.02,40.82,24.3,17.97,0.36,21.85
7.66,8.83,41.48,23.81,18.21,0.36,21.85
7.89,8.94,41.83,23.48,17.86,0.36,21.85
8.48,9.41,40.27,23.83,18.02,0.36,21.85
9.87,9.11,40.4,22.77,17.85,0.36,21.85
8.92,9.15,41.05,22.61,18.28,0.36,21.85
8.82,9.5,40.37,23.78,17.55,0.36,21.85
8.95,9.42,40.26,22.72,18.65,0.36,21.85
8.62,8.89,40.95,23.64,17.89,0.36,21.85
8.31,9.22,40.22,24.68,17.57,0.36,21.85
7.78,9.05,41.64,24.0,17.53,0.36,21.85
9.53,9.18,40.15,23.28,17.87,0.36,21.85
7.98,9.31,41.89,22.93,17.9,0.36,21.85
9.67,8.99,40.95,22.89,17.51,0.36,21.85
7.57,10.0,39.48,24.29,18.47,0.36,21.8
9.36,10.0,38.03,23.94,18.59,0.36,21.8
8.62,9.09,39.01,24.61,18.67,0.36,21.8
9.72,9.1,39.41,24.07,17.7,0.36,21.8
9.83,9.09,37.71,24.81,18.55,0.36,21.8
9.33,9.49,39.1,23.58,18.51,0.36,21.8
8.23,9.89,39.17,24.67,18.03,0.36,21.8
8.73,9.01,39.44,24.18,18.63,0.36,21.8
8.74,9.79,39.22,23.68,18.57,0.36,21.8
9.92,9.54,38.56,24.22,17.76,0.36,21.8
9.24,8.94,39.67,23.81,18.34,0.36,21.8
8.61,9.77,39.4,23.94,18.28,0.36,21.8
9.6,9.73,38.75,23.63,18.3,0.36,21.8
8.24,10.0,38.52,24.57,18.3,0.36,21.8
7.78,10.0,39.68,23.85,18.25,0.36,21.8
7.66,9.84,39.25,24.88,18.37,0.36,21.8
9.59,10.0,38.32,24.27,17.55,0.36,21.8
9.0,8.93,39.69,23.79,18.6,0.36,21.8
8.44,9.18,39.91,24.46,18.01,0.36,21.8
9.56,9.2,38.35,24.42,18.47,0.36,21.8
9.85,10.0,37.51,23.75,18.52,0.36,21.8
8.57,9.81,39.35,24.75,17.52,0.36,21.8
8.45,9.49,39.84,24.53,17.69,0.36,21.8
9.49,10.0,39.85,22.76,17.74,0.36,21.8
9.74,10.0,38.11,23.44,18.43,0.36,21.8
8.04,9.14,39.82,24.79,18.21,0.36,21.8
9.79,9.7,39.19,23.07,18.25,0.36,21.8
9.68,10.0,39.55,22.55,17.85,0.36,21.8
8.75,9.81,39.07,24.32,18.05,0.36,21.8
9.77,9.0,38.72,24.54,17.97,0.36,21.8
8.81,10.0,39.44,23.4,17.77,0.36,21.8
9.49,8.93,39.37,24.05,18.15,0.36,21.8
8.8,9.11,39.31,24.48,18.3,0.36,21.8
9.74,9.58,39.41,23.61,17.67,0.36,21.8
8.14,9.98,39.98,23.7,18.21,0.36,21.8
8.86,9.48,39.98,23.19,18.49,0.36,21.8
10.31,9.22,38.23,23.82,18.42,0.36,21.78
10.07,8.91,39.92,23.26,17.84,0.36,21.78
11.02,9.22,39.63,22.61,17.51,0.36,21.78
10.89,9.1,38.19,23.78,18.03,0.36,21.78
10.2,8.94,39.58,23.7,17.58,0.36,21.78
10.21,9.13,38.57,23.44,18.64,0.36,21.78
12.49,9.16,37.97,22.65,17.74,0.36,21.78
10.72,8.95,38.51,23.48,18.34,0.36,21.78
10.45,8.78,39.98,22.59,18.2,0.36,21.78
10.13,10.0,37.62,23.93,18.01,0.36,21.78
10.45,10.0,37.81,23.93,17.74,0.36,21.78
11.18,9.17,37.52,23.65,18.48,0.36,21.78
10.67,9.14,37.67,23.91,18.61,0.36,21.78
10.24,9.77,39.93,22.55,17.52,0.36,21.78
10.57,8.98,38.67,23.5,18.29,0.36,21.78
10.34,8.84,39.85,22.54,18.43,0.36,21.78
11.21,9.34,38.56,22.77,18.12,0.36,21.78
10.55,9.31,37.57,24.91,17.65,0.36,21.78
10.63,9.6,39.54,22.69,17.54,0.36,21.78
11.23,8.89,38.2,23.92,17.76,0.36,21.78
10.75,9.65,37.94,23.64,18.03,0.36,21.78
10.04,9.11,37.8,24.85,18.2,0.36,21.78
10.09,9.36,37.62,24.5,18.44,0.36,21.78
10.21,10.0,38.75,23.07,17.66,0.36,21.78
12.17,9.43,37.92,22.82,17.66,0.36,21.78
10.02,8.76,39.97,22.88,18.36,0.36,21.78
10.76,9.59,38.4,23.34,17.91,0.36,21.78
10.37,8.92,38.15,24.18,18.37,0.36,21.78
10.62,8.97,39.49,22.91,18.01,0.36,21.78
10.77,9.24,37.96,24.07,17.95,0.36,21.78
11.54,8.83,37.91,23.39,18.33,0.36,21.78
10.12,9.18,39.93,22.61,18.16,0.36,21.78
10.8,8.94,39.03,22.95,18.28,0.36,21.78
10.09,8.94,39.61,23.27,18.1,0.36,21.78
9.6,8.78,37.66,26.06,17.89,0.36,21.77
7.54,8.97,39.7,25.36,18.43,0.36,21.77
8.34,8.93,39.82,25.09,17.82,0.36,21.77
8.81,8.97,38.33,25.6,18.29,0.36,21.77
8.56,9.98,38.11,25.3,18.05,0.36,21.77
7.97,9.62,38.68,25.43,18.3,0.36,21.77
8.19,10.0,38.25,25.24,18.19,0.36,21.77
8.07,8.84,39.45,25.76,17.88,0.36,21.77
9.08,8.86,38.92,25.5,17.65,0.36,21.77
7.63,10.0,37.86,26.1,17.78,0.36,21.77
9.14,8.87,38.27,25.89,17.82,0.36,21.77
7.76,9.92,39.21,25.34,17.77,0.36,21.77
8.44,9.28,38.68,25.71,17.9,0.36,21.77
9.53,8.93,37.62,25.85,18.07,0.36,21.77
7.82,9.69,38.39,26.42,17.69,0.36,21.77
9.33,9.12,38.02,25.38,18.14,0.36,21.77
8.7,10.0,38.06,25.05,17.79,0.36,21.77
8.47,9.08,38.18,26.65,17.62,0.36,21.77
9.58,8.94,38.57,25.02,17.88,0.36,21.77
7.54,9.44,39.34,25.01,18.67,0.36,21.77
8.32,9.38,39.06,25.13,18.1,0.36,21.77
8.36,9.62,38.41,25.01,18.6,0.36,21.77
8.01,9.3,37.6,26.53,18.56,0.36,21.77
8.08,8.77,39.74,25.37,18.04,0.36,21.77
8.46,9.77,38.24,25.63,17.9,0.36,21.77
8.45,8.86,38.22,26.61,17.86,0.36,21.77
8.5,9.23,38.28,25.57,18.42,0.36,21.77
7.67,8.93,39.42,25.9,18.09,0.36,21.77
8.17,9.23,39.34,25.19,18.08,0.36,21.77
8.9,9.09,38.71,25.36,17.95,0.36,21.77
8.64,8.9,38.96,25.78,17.73,0.36,21.77
10.01,9.12,37.64,25.6,17.63,0.36,21.75
9.85,6.9,40.92,27.32,15.01,0.37,21.28
9.1,7.03,41.45,26.57,15.86,0.37,21.28
8.01,6.41,42.11,27.48,15.99,0.37,21.28
9.71,6.92,41.28,27.17,15.0,0.37,21.28
9.1,6.67,40.68,27.37,16.18,0.37,21.28
9.85,7.48,40.01,26.81,15.85,0.37,21.28
9.05,7.17,42.33,26.4,15.05,0.37,21.28
9.41,7.12,40.11,27.37,15.99,0.37,21.28
9.97,6.6,40.49,27.02,15.92,0.37,21.28
10.0,6.68,41.03,27.09,15.2,0.37,21.28
9.84,6.95,40.35,26.68,16.18,0.37,21.28
9.15,7.08,41.15,27.14,15.48,0.37,21.28
8.73,6.51,41.37,27.39,15.99,0.37,21.28
8.96,7.27,41.94,27.16,15.0,0.37,21.28
9.34,6.99,40.36,27.06,16.25,0.37,21.28
8.95,7.47,41.23,26.2,16.15,0.37,21.28
7.9,7.3,41.65,27.48,15.68,0.37,21.28
9.69,6.75,41.08,27.07,15.41,0.37,21.28
9.18,6.46,41.0,27.44,15.92,0.37,21.28
9.03,6.42,41.08,27.22,16.25,0.37,21.28
8.99,7.47,41.28,26.79,15.47,0.37,21.28
9.45,6.81,42.14,26.09,15.52,0.37,21.28
8.99,6.7,42.44,26.69,15.19,0.37,21.28
9.82,7.5,40.9,26.68,15.1,0.37,21.28
8.85,7.06,41.52,27.04,15.54,0.37,21.28
9.09,7.22,42.28,26.79,15.0,0.37,21.28
9.59,7.49,41.34,25.66,15.92,0.37,21.28
8.94,6.3,41.63,27.0,16.13,0.37,21.28
8.32,6.34,42.21,27.39,15.73,0.37,21.28
8.92,7.5,39.97,27.39,16.22,0.37,21.24
9.14,6.85,40.64,25.25,18.13,0.37,21.19
8.39,6.42,42.15,25.47,17.57,0.37,21.19
8.01,6.57,41.26,26.05,18.1,0.37,21.19
9.91,6.7,40.33,25.28,17.78,0.37,21.19
8.13,6.31,42.25,25.63,17.67,0.37,21.19
8.3,6.6,41.31,26.16,17.63,0.37,21.19
8.72,6.83,40.19,26.5,17.77,0.37,21.19
9.15,6.98,40.48,25.39,18.0,0.37,21.19
8.35,6.61,40.97,25.78,18.28,0.37,21.19
9.76,6.96,40.34,25.44,17.51,0.37,21.19
7.93,6.77,40.91,26.22,18.18,0.37,21.19
7.54,7.19,42.03,25.3,17.93,0.37,21.19
7.98,6.9,41.15,25.43,18.54,0.37,21.19
9.46,6.79,40.24,25.24,18.26,0.37,21.19
8.58,6.86,40.51,25.96,18.1,0.37,21.19
9.25,7.04,40.04,26.0,17.67,0.37,21.19
8.67,6.47,40.21,26.03,18.63,0.37,21.19
7.65,7.4,41.43,25.77,17.76,0.37,21.19
8.37,6.8,41.21,25.14,18.48,0.37,21.19
8.75,6.47,40.88,25.55,18.35,0.37,21.19
8.88,6.68,40.5,25.61,18.32,0.37,21.19
8.51,6.4,40.97,26.21,17.91,0.37,21.19
7.67,6.65,40.65,27.17,17.86,0.37,21.19
8.74,7.45,40.87,25.33,17.62,0.37,21.19
8.89,6.51,41.91,25.17,17.51,0.37,21.19
9.24,6.75,40.6,25.19,18.21,0.37,21.19
8.43,7.3,41.39,25.29,17.6,0.37,21.19
7.87,7.2,41.49,25.44,18.0,0.37,21.19
7.62,6.42,40.75,27.35,17.85,0.37,21.19
8.37,6.27,40.37,26.25,18.75,0.37,21.19
7.96,6.77,40.9,25.71,18.66,0.37,21.19
7.69,7.07,41.53,25.57,18.14,0.37,21.19
8.27,6.82,40.75,26.3,17.87,0.37,21.19
8.8,6.9,40.22,25.86,18.23,0.37,21.19
8.24,6.42,40.06,27.43,17.84,0.37,21.19
9.59,6.8,40.74,25.02,17.86,0.37,21.19
8.76,6.55,41.06,25.33,18.3,0.37,21.19
7.72,7.33,41.43,25.03,18.48,0.37,21.19
8.37,7.04,40.71,25.36,18.52,0.37,21.19
7.96,6.89,41.27,25.89,18.0,0.37,21.19
7.52,6.81,41.23,26.33,18.11,0.37,21.19
9.0,6.43,41.09,25.32,18.16,0.37,21.19
7.74,6.65,41.19,26.72,17.71,0.37,21.19
9.2,7.38,38.75,26.86,17.82,0.37,21.15
9.32,7.2,39.4,25.48,18.61,0.37,21.15
8.35,7.43,39.8,25.95,18.46,0.37,21.15
8.4,7.47,39.12,26.28,18.73,0.37,21.15
8.01,7.2,38.97,27.11,18.72,0.37,21.15
9.93,7.35,39.24,25.28,18.2,0.37,21.15
9.27,7.41,38.75,27.02,17.55,0.37,21.15
7.88,7.07,39.43,27.02,18.61,0.37,21.15
8.26,6.59,39.55,27.48,18.12,0.37,21.15
8.91,6.95,39.24,27.16,17.74,0.37,21.15
7.92,7.41,39.7,27.04,17.93,0.37,21.15
9.88,6.73,39.49,25.49,18.41,0.37,21.15
9.74,7.15,39.04,26.04,18.04,0.37,21.15
7.59,7.0,39.91,27.47,18.04,0.37,21.15
9.44,6.93,38.33,27.13,18.17,0.37,21.15
8.74,6.39,39.18,27.02,18.66,0.37,21.15
9.75,7.44,39.02,25.18,18.61,0.37,21.15
7.92,7.42,39.42,26.52,18.72,0.37,21.15
8.9,7.49,39.37,26.57,17.67,0.37,21.15
9.7,6.53,39.11,26.92,17.74,0.37,21.15
8.89,7.08,38.96,27.47,17.59,0.37,21.15
9.79,6.38,38.97,26.78,18.08,0.37,21.15
8.69,7.12,38.6,27.05,18.54,0.37,21.15
9.01,7.3,39.43,25.93,18.33,0.37,21.15
9.91,7.23,39.89,25.21,17.76,0.37,21.15
9.8,7.23,38.43,26.46,18.07,0.37,21.15
9.8,6.85,39.26,25.66,18.43,0.37,21.15
7.56,7.37,39.31,27.39,18.37,0.37,21.15
9.6,7.25,38.94,26.64,17.58,0.37,21.15
8.62,7.04,39.84,26.32,18.18,0.37,21.15
9.02,7.22,39.05,26.52,18.18,0.37,21.15
9.15,7.2,38.01,26.91,18.73,0.37,21.15
9.73,6.58,39.37,26.09,18.24,0.37,21.15
8.74,7.32,39.94,26.44,17.56,0.37,21.15
9.52,6.85,38.74,26.31,18.58,0.37,21.15
8.98,6.69,39.75,26.53,18.04,0.37,21.15
9.6,7.41,39.75,25.42,17.82,0.37,21.15
9.88,7.13,38.38,26.1,18.51,0.37,21.15
9.14,6.58,39.69,26.88,17.71,0.37,21.15
9.3,7.49,39.27,25.39,18.55,0.37,21.15
8.1,6.54,42.62,27.89,15.0,0.37,20.94
7.75,6.0,45.0,22.38,17.4,0.38,21.34
9.76,6.2,45.0,21.06,17.18,0.38,21.34
9.35,5.49,45.0,22.49,16.4,0.38,21.34
8.89,5.17,45.0,22.47,17.39,0.38,21.34
9.05,6.25,45.0,21.86,17.01,0.38,21.34
8.88,6.25,45.0,22.49,16.63,0.38,21.34
9.88,7.07,42.26,24.76,16.04,0.38,21.31
10.0,7.01,42.01,24.9,16.08,0.38,21.31
10.3,7.44,41.5,25.64,15.12,0.38,21.27
11.65,6.57,40.91,27.13,15.0,0.38,21.27
10.43,6.67,41.69,25.4,15.82,0.38,21.27
12.01,6.55,40.65,25.64,15.15,0.38,21.27
12.03,7.07,40.3,25.2,15.4,0.38,21.27
11.17,6.26,41.49,25.86,15.23,0.38,21.27
10.97,7.32,40.82,26.49,15.0,0.38,21.27
12.03,7.13,40.21,25.84,15.0,0.38,21.27
11.17,6.33,41.41,26.73,15.0,0.38,21.27
11.73,7.5,40.21,26.51,15.0,0.38,21.27
10.63,6.45,41.37,25.82,15.73,0.38,21.27
11.15,6.9,40.17,26.08,15.7,0.38,21.27
10.52,6.72,40.82,26.32,15.61,0.38,21.27
10.54,6.37,41.46,25.48,16.15,0.38,21.27
10.22,6.41,40.99,26.8,15.57,0.38,21.27
10.69,6.67,40.79,25.83,16.02,0.38,21.27
10.53,6.81,41.46,25.39,15.81,0.38,21.27
12.29,6.62,40.63,26.05,15.0,0.38,21.27
12.23,6.89,40.22,25.46,15.21,0.38,21.27
10.61,7.42,40.66,27.45,15.0,0.38,21.27
10.55,7.46,40.22,25.99,15.79,0.38,21.27
11.85,6.61,40.49,26.54,15.0,0.38,21.27
11.67,7.26,40.04,26.61,15.0,0.38,21.27
11.17,7.39,40.98,25.58,15.0,0.38,21.27
12.2,7.06,40.72,26.13,15.0,0.38,21.27
10.59,6.53,40.37,26.5,16.0,0.38,21.27
11.37,6.31,40.42,26.7,15.2,0.38,21.27
10.38,7.03,42.38,25.92,15.0,0.38,21.27
10.78,6.26,40.97,26.13,15.85,0.38,21.27
10.92,6.48,40.29,26.23,16.07,0.38,21.27
11.04,6.59,40.79,25.5,16.07,0.38,21.27
11.92,6.91,40.97,25.55,15.0,0.38,21.27
11.11,6.45,41.49,25.68,15.27,0.38,21.27
10.29,6.41,41.32,26.0,15.98,0.38,21.27
11.93,6.42,40.66,26.19,15.0,0.38,21.27
11.23,6.74,40.1,26.75,15.18,0.38,21.27
11.83,6.46,41.55,25.15,15.0,0.38,21.27
8.34,7.38,41.14,24.88,18.26,0.38,21.23
8.5,6.96,42.36,23.98,18.19,0.38,21.23
11.28,7.3,38.67,27.0,15.74,0.38,21.23
8.89,6.29,42.16,24.26,18.4,0.38,21.23
9.99,6.75,41.23,24.04,17.98,0.38,21.23
8.57,6.97,41.82,24.5,18.14,0.38,21.23
12.05,6.88,39.87,25.4,15.8,0.38,21.23
8.9,7.47,42.05,23.47,18.1,0.38,21.23
11.17,6.51,39.42,27.16,15.74,0.38,21.23
9.4,6.6,41.64,24.17,18.18,0.38,21.23
12.21,7.24,37.84,26.78,15.92,0.38,21.23
11.57,6.9,39.28,26.42,15.82,0.38,21.23
12.06,6.51,38.69,26.71,16.03,0.38,21.23
11.16,6.8,39.95,26.4,15.68,0.38,21.23
12.19,6.89,38.0,27.28,15.65,0.38,21.23
9.77,7.33,42.0,22.94,17.96,0.38,21.23
11.33,6.79,39.7,26.81,15.37,0.38,21.23
12.13,7.34,38.73,26.28,15.51,0.38,21.23
8.83,7.23,42.02,23.75,18.17,0.38,21.23
9.65,6.8,42.24,22.99,18.32,0.38,21.23
10.86,6.62,39.54,27.01,15.97,0.38,21.23
9.4,7.28,40.41,24.56,18.35,0.38,21.23
8.9,7.02,42.47,23.73,17.89,0.38,21.23
9.54,7.43,40.27,24.89,17.86,0.38,21.23
8.61,6.81,42.44,23.85,18.29,0.38,21.23
9.1,6.75,41.82,24.24,18.09,0.38,21.23
11.57,6.98,39.18,26.19,16.08,0.38,21.23
8.65,6.99,41.12,24.53,18.7,0.38,21.23
12.09,6.58,39.3,26.29,15.73,0.38,21.23
12.14,7.26,39.18,25.74,15.69,0.38,21.23
9.49,7.32,40.89,23.68,18.62,0.38,21.23
11.82,7.32,39.13,26.65,15.09,0.38,21.23
10.17,7.34,39.52,26.73,16.23,0.38,21.23
12.33,6.91,38.92,26.32,15.52,0.38,21.23
10.0,7.48,40.76,23.65,18.1,0.38,21.23
12.33,7.3,38.38,26.01,15.98,0.38,21.23
9.99,6.4,41.44,23.89,18.27,0.38,21.23
9.92,6.36,41.12,24.43,18.17,0.38,21.23
12.32,6.39,38.12,27.17,16.0,0.38,21.23
12.25,7.43,39.38,26.06,15.0,0.38,21.23
12.33,6.51,39.59,26.26,15.31,0.38,21.23
8.53,6.26,41.78,24.88,18.56,0.38,21.23
12.16,7.09,39.51,25.45,15.79,0.38,21.23
10.48,6.99,39.61,26.76,16.17,0.38,21.23
10.46,6.92,39.39,27.07,16.16,0.38,21.23
8.93,7.03,40.76,25.0,18.28,0.38,21.23
10.44,6.37,39.9,27.11,16.17,0.38,21.23
12.47,6.98,39.17,25.69,15.69,0.38,21.23
12.37,7.13,39.24,25.9,15.36,0.38,21.23
12.1,6.76,38.89,26.29,15.97,0.38,21.23
9.91,6.59,41.1,24.82,17.57,0.38,21.23
8.35,6.45,42.37,24.83,18.01,0.38,21.23
12.44,6.67,38.44,27.18,15.27,0.38,21.23
11.96,7.19,38.59,27.3,15.0,0.38,21.23
9.31,6.81,42.14,23.47,18.28,0.38,21.23
8.22,7.41,41.03,24.6,18.74,0.38,21.23
11.36,6.43,39.04,27.22,15.96,0.38,21.23
11.52,6.54,38.99,27.24,15.71,0.38,21.23
8.61,6.39,41.37,24.96,18.68,0.38,21.23
11.11,7.02,39.78,26.04,16.05,0.38,21.23
10.92,7.45,39.59,26.36,15.68,0.38,21.23
9.53,6.95,40.41,24.89,18.23,0.38,21.23
7.52,7.44,41.8,24.98,18.26,0.38,21.23
11.98,6.96,39.33,25.96,15.78,0.38,21.23
12.22,6.84,39.99,25.71,15.24,0.38,21.23
11.44,7.49,39.68,25.36,16.03,0.38,21.23
9.82,7.49,40.28,24.41,18.0,0.38,21.23
11.97,6.74,39.86,26.62,15.0,0.38,21.23
12.17,7.18,39.44,25.75,15.46,0.38,21.23
9.21,7.18,41.36,23.54,18.7,0.38,21.23
11.65,7.43,39.47,26.27,15.18,0.38,21.23
8.55,7.45,42.05,23.37,18.57,0.38,21.23
11.1,7.0,39.79,26.33,15.78,0.38,21.23
9.0,7.09,42.34,22.97,18.6,0.38,21.23
8.24,6.94,42.23,24.44,18.15,0.38,21.23
7.73,7.19,42.01,24.92,18.16,0.38,21.23
9.25,7.47,41.81,22.72,18.75,0.38,21.23
12.05,6.38,38.4,27.2,15.96,0.38,21.23
9.91,6.36,41.04,24.72,17.97,0.38,21.23
10.27,7.43,39.13,27.11,16.06,0.38,21.23
9.95,7.03,40.73,23.88,18.41,0.38,21.23
9.47,7.5,41.62,23.77,17.63,0.38,21.23
9.91,6.53,41.97,23.05,18.55,0.38,21.23
12.18,7.18,38.39,26.34,15.91,0.38,21.23
9.66,7.48,40.58,23.97,18.3,0.38,21.23
12.48,7.28,38.03,27.04,15.17,0.38,21.23
9.03,7.46,40.22,24.84,18.46,0.38,21.23
8.65,6.95,41.53,24.16,18.72,0.38,21.23
8.06,7.28,42.39,23.86,18.42,0.38,21.23
9.86,7.09,40.67,24.16,18.22,0.38,21.23
7.85,7.34,41.59,24.68,18.54,0.38,21.23
11.91,6.81,38.93,26.38,15.97,0.38,21.23
11.28,7.29,37.66,25.79,17.99,0.38,21.15
11.19,6.6,37.87,26.13,18.21,0.38,21.15
10.92,6.35,38.58,26.4,17.75,0.38,21.15
10.53,6.69,38.75,26.32,17.71,0.38,21.15
11.83,6.63,37.71,25.75,18.08,0.38,21.15
11.96,6.74,37.97,25.31,18.02,0.38,21.15
10.57,7.31,37.76,26.51,17.85,0.38,21.15
11.35,6.33,37.79,26.43,18.1,0.38,21.15
11.66,7.17,37.53,25.86,17.78,0.38,21.15
11.44,6.4,38.11,25.53,18.53,0.38,21.15
11.06,6.73,38.56,25.48,18.16,0.38,21.15
10.62,6.9,38.51,25.96,18.01,0.38,21.15
10.23,6.96,38.03,26.93,17.85,0.38,21.15
11.66,6.94,38.62,25.21,17.56,0.38,21.15
11.31,6.46,38.42,26.09,17.72,0.38,21.15
12.03,6.33,37.86,25.58,18.2,0.38,21.15
11.79,6.48,38.21,25.57,17.95,0.38,21.15
10.17,7.0,38.63,26.47,17.72,0.38,21.15
11.51,6.75,38.17,25.1,18.47,0.38,21.15
10.16,6.28,39.61,26.44,17.52,0.38,21.15
11.03,6.64,38.74,26.0,17.59,0.38,21.15
12.02,7.08,37.63,25.68,17.59,0.38,21.15
10.12,6.47,38.41,26.46,18.53,0.38,21.15
10.79,6.91,37.98,26.81,17.52,0.38,21.15
11.67,6.57,37.95,25.65,18.15,0.38,21.15
10.63,7.23,37.7,26.4,18.04,0.38,21.15
11.14,6.39,38.84,25.67,17.95,0.38,21.15
10.49,7.25,37.58,26.23,18.44,0.38,21.15
11.11,7.07,38.69,25.54,17.59,0.38,21.15
12.3,6.71,40.4,24.96,15.62,0.39,21.3
12.12,6.94,41.46,24.59,15.0,0.39,21.3
11.74,6.26,41.44,24.9,15.67,0.39,21.3
10.85,7.32,41.18,25.0,15.66,0.39,21.3
11.63,6.67,40.86,24.97,15.87,0.39,21.3
12.49,6.71,40.56,24.7,15.55,0.39,21.3
11.74,7.06,40.61,24.45,16.15,0.39,21.3
12.09,6.33,41.82,24.89,15.0,0.39,21.3
10.57,7.34,41.03,24.96,16.1,0.39,21.3
11.27,7.37,41.57,23.71,16.08,0.39,21.3
11.43,7.04,41.64,24.38,15.52,0.39,21.3
12.2,6.7,41.63,23.41,16.05,0.39,21.3
12.2,7.42,41.91,22.77,15.7,0.39,21.3
10.99,6.59,41.96,24.49,15.98,0.39,21.3
10.49,7.32,41.31,24.66,16.23,0.39,21.3
11.81,6.71,41.63,24.68,15.18,0.39,21.3
11.65,7.23,42.27,23.32,15.53,0.39,21.3
11.03,6.76,41.57,24.78,15.86,0.39,21.3
12.42,6.79,40.2,24.76,15.83,0.39,21.3
11.31,7.28,40.68,24.53,16.2,0.39,21.3
11.44,6.5,42.27,24.14,15.65,0.39,21.3
12.13,6.95,41.4,24.36,15.15,0.39,21.3
12.46,6.34,40.79,24.53,15.89,0.39,21.3
11.93,7.48,40.35,24.71,15.52,0.39,21.3
